url,label
alexandragalleries.blogspot.com/,0
nbc.com/classic-tv/quantum-leap/video/categories/season-1/1057222/,0
two.jhvjhvhvhjv.biz/bsww4q9fty\nholotilicga.medproshealthcare.com/bannerbox/frame.html,1
vicki-russell.com/cv.htm,0
cooliohigh.com/,0
guardoncard.net/file/excel/excel/,1
poppy.co.za/nve/Gdoccc/index.php,1
vancouverjobs.ca/ad-category/bc-technology-jobs/game-jobs-video-game-industry/,0
lynxequity.com/,0
goliath.ecnext.com/coms2/product-compint-0000270665-page.html,0
sbnation.com/nfl/players/111500/randy-phillips,0
michaelwsmith.com/,0
findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=7862048,0
tracksounds.com/reviews/pitchblack.htm,0
web01.jetphotos.net/link/,0
patchworkshepherds.com/testimonials,0
educationindex.com/usa/missouri/kansas-city/pinnacle-career-institute-90287/,0
spoke.com/info/p6T63s1/JAYMALINOWSKI,0
37.59.68.13/~zadmin/bash/status/time.php?m=login,1
amazon.com/Entropy-World-View-Jeremy-Rifkin/dp/0670297178,0
en.wikipedia.org/wiki/Canadian_Mothercraft_Society,0
googlebooksettlement.com/,0
tcons.com.bo/language/es-ES/-/d23d6/index2.htm?/secure-card/cdi-Login/cfspart.php?Login/index.html=90450457MDP?op=c&amp;url=aH/cGFnZUlkPXBuYTJwYXImc2ZpZD0zAU==,1
spokeo.com/Debbie+Fuller,0
youtube.com/watch?v=N6Vnfuqoh-I,0
ubqtous.com/index.cfm/LennyBruce,0
6i3cb6owitcouepv.paybrakepoint.com/img/flags/fr.png,1
insidemovies.ew.com/2011/05/09/seeking-a-friend-for-the-end-of-the-world-steve-carell-keira-knightley/,0
wwar.com/masters/h/harrison-alexander.html,0
en.wikipedia.org/wiki/Great_Britain_men%27s_national_ice_hockey_team,0
nbpharma.ca/default.asp?mn=1.19.378.379,0
law.wisc.edu/profiles/index.php?iEmployeeID=179,0
yelp.com/biz/william-crow-jewelry-denver,0
freebase.com/view/en/willis_bouchey,0
laurenmaxwell.blogspot.com/,0
archive.org/stream/practicalfrench00baumgoog/practicalfrench00baumgoog_djvu.txt,0
azrattlers.com/,0
agxxgle.in/good/getcfg.php,1
law.com/jsp/ca/PubArticleCA.jsp?id=1202518843488&Viewpoint_Dear_Friends_and_Gentle_Hearts,0
alacrastore.com/deal-snapshot/Hombergh_Holdings_BV_acquires_Quebecor_World_Europe_Holding_from_Quebecor_Inc-518992,0
packages.orlandovacation.com/universal-studios-vacation-packages/,0
imdb.com/date/10-17/births,0
pioneeraustin.com/,0
btmon.com/Frank_Marino_Mahogany_Rush_14_Albums.torrent.html,0
huffingtonpost.com/2011/06/01/jackie-robinson-movie-legendary-pictures_n_869798.html,0
mtv.com/music/artist/a_perfect_murder/artist.jhtml,0
funsaratoga.typepad.com/,0
ahoy.tk-jk.net/macslog/CanadianTribalDestroyerHM.html,0
rowingservice.com/new.html,0
mcmario.com/,0
montrealjazzfest.com/artists/artist.aspx?id=3935,0
hockeydb.com/ihdb/stats/leagues/seasons/teams/0000471981.html,0
spoke.com/profiles/MANONCYR,0
dictionary.sensagent.com/archidiocese+de+quebec/fr-fr/,0
facebook.com/people/Gonzalo-Cebreroz-Lira/100000967638348,0
youtube.com/watch?v=x6d7q0-fnG0,0
life.com/news-pictures/50448235/camillien-houde,0
stampeders.com/multimedia/video/,0
youtube.com/watch?v=nYtIR7atP6g,0
en.wikipedia.org/wiki/Vlasic,0
linkedin.com/pub/michael-o-neal/a/319/51b,0
hahaamey14.wordpress.com/,0
tcharshape-nisiwatembelee.broyhillfurnitureonline.com/civis/search.php?keywords=1et46&amp;fid0=nfm62,1
31.41.44.252/module/09e2a5987534a3f12a01504e2823f826/,1
searchenginecorp.com/death-records/journal-de-montreal-obituaries/,0
cdbaby.com/cd/constantenfoust,0
en.wikipedia.org/wiki/CJAD,0
butlersports.com/sports/w-baskbl/2011-12/releases/201111112jiqwr,0
newworldencyclopedia.org/entry/Russian_language,0
metrolyrics.com/paper-thin-walls-lyrics-modest-mouse.html,0
37.49.224.144/test_servers.xml,1
answers.yahoo.com/question/index?qid=20110302073733AApXmyS,0
simpleandgreen.net/,0
dictionary.reference.com/browse/orchestre,0
nodakmutual.com/products-farm-ranch.php,0
santabanta.com/wallpapers/gallery.asp?catname=Saira%20Mohan,0
aboutfacemag.com/2011/03/interview-jason-french-ned-ludd-restaurant/,0
starwars.wikia.com/wiki/George_Roubicek,0
controlfreaknetworks.com/dev/wp-content/uploads/2015/07/wcspng.php,1
nme.com/news/broken-bells/51145,0
newarkjazzelders.com/,0
mosaic.nu/wp-admin/network/docs/14f15e3e4d4c2d639b6b1861a5b2c402/,1
mararunning.org/BROADWAY%20BRIDGE%202009.HTM,0
docstoc.com/docs/37542047/TRADE-MARKS-JOURNAL-DES-MARQUES,0
yelp.com/biz/lake-temescal-oakland,0
icking-music-archive.org/ByComposer/Coulon.php,0
bereskinparr.com/ENG/News/NewsletterArticles/newsletters/TM/Winter2009/newsletter-TM-Winter2009-Article-4.html,0
twincities.com/sports/ci_18983589,0
sportsbusinesssims.com/oakland-athletics-baseball-history.htm,0
broncotalk.net/2008/07/1876/broncos-blog/2008-denver-broncos-training-camp-preview-rookies/,0
flickr.com/photos/floridamemory/3341375526/,0
darklyrics.com/k/kataklysm.html,0
sfloman.com/fleetwoodmac.html,0
guardian.co.uk/stage/2009/nov/11/douglas-campbell-obituary,0
evri.com/organization/borden-ladner-gervais-0x84e60,0
facebook.com/people/Sam-Pollock/1274940048,0
mylife.com/tayjocelyn,0
proz.com/kudoz/romanian_to_english/certificates_diplomas_licenses_cvs/2650736-denumirea_domeniului_de_formare_profesionala_la_ciclul_i.html,0
insider.espn.go.com/mens-college-basketball/story/_/id/6868373/cbb-baylor-bears-2011-12-summer-buzz-preview,0
campaignmoney.com/political/contributions/richard-notebaert.asp?cycle=08,0
nfl.wikia.com/wiki/List_of_retired_professional_American_football_players,0
facebook.com/people/Jeanne-Mance/665831389,0
profaneexistence.org/,0
librarything.com/author/dillardjm,0
varsityb.com/2011/04/football-lockers/,0
tennisplayer.net/public/champions/Ed_Atkinson_Don_Budge_samplearticle.html,0
onetravelsource.com/attractions-hotels/CA/QC/Montreal/Hopital-Hotel-Dieu-de-Montreal_Montreal/,0
bookrags.com/disamb/Cruz,0
netglimse.com/celebs/pages/the_pointer_sisters/index.shtml,0
youtube.com/watch?v=mEHUApHdjEo,0
gusgang.blogspot.com/,0
totalruckus.com/phpBB2/viewtopic.php?t=23834,0
imtl.org/montreal/building/place_Deguire.php,0
ilike.com/artist/All+Shall+Perish/track/Eradication,0
metrolyrics.com/fear-the-voices-lyrics-alice-in-chains.html,0
jambase.com/shows/event.aspx?EventID=730458,0
nethelper.com/article/1980_Summer_Olympics,0
acronyms.thefreedictionary.com/McGill+University+Online+Library+Catalogue,0
angieslist.com/companylist/us/mo/kansas-city/macys-metro-north-mall-reviews-335967.aspx,0
yamintl.com/wp-live/verify/,1
regdist.com/,0
mediatakeout.com/2009/35498-mtv_drama_beyonce_and_jay_z_have_a_blow_up_fight_over_kanyes_outburst__jay_reportedly_leaves_beyonce__parties_up_the_night_with_rihanna.html,0
sfbay.craigslist.org/eby/msg/2665257301.html,0
rcsec.org/,0
en.wikipedia.org/wiki/Participant_Media,0
lannybarbyvideos.com/,0
vizxv.pw/2,1
amazon.com/Classic-Modeling-Models-Films-DVD/dp/B000IVQ5AU,0
rick.alertthemedic.com/Main.html,0
mylife.com/high-schools/oh/lima/temple-christian-school/,0
tech-mag.xyz/local/,1
buffalonation.wordpress.com/category/war-memorial-auditorium/,0
en.wikipedia.org/wiki/File:Richmond_Spiders_text_logo.svg,0
lidersuldistribuidora.com.br/oneman/ayo1/ayo1/index.html,1
hauntworld.com/ohio_haunted_houses,0
canada411.ca/Quebec/Blainville/Adam-to-Clement/Campeau/1/,0
hot1079online.com/,0
youtube.com/watch?v=jF1J6A-6bIk,0
ehow.com/how_4469299_tour-kansas-city-library.html,0
homepages.sover.net/~spectrum/apsl.html,0
insuranceandtechguide.com/StoneRiver-cp54296.htm,0
vitals.com/doctors/Dr_Joseph_Englanoff.html,0
chessimprover.com/?p=2060,0
poptower.com/lorenzo-lamas.htm,0
wordnik.com/words/Radio-Canada%27s,0
addbdfcamfocmcnf.cc /,1
myarmedforces.com/medal-11/Legion_of_Merit_Medal,0
womenintexashistory.org/timeline/,0
spoke.com/info/p73ri1i/KGO-TVProgramming,0
imdb.com/name/nm0020933/bio,0
thecommunitybanker.com/cu_links/,0
wc.rootsweb.ancestry.com/cgi-bin/igm.cgi?op=DESC&db=1954regis&id=I1742,0
internationalnews.fr/10-categorie-10444964.html,0
americantowns.com/wa/blackdiamond,0
capathermi.com.br/tescoonline.update/,1
ebay.com/sch/i.html?_nkw=robert+blake,0
absoluteastronomy.com/topics/Tom_Watson_(golfer),0
evri.com/organization/kcpt-tv-0x135af1,0
fishusa.com/PowerPro-Braided-Spectra-Fiber-Line_p.html,0
gocalifornia.about.com/cs/sanfrancisco/a/ggbridge.htm,0
philadelphiaunion.com/news/2010/11/union-acquire-mf-brian-carroll,0
highbeam.com/publications/national-catholic-reporter-p774,0
katespadeoutlet.us/,0
en.wikipedia.org/wiki/Quebec_Route_232,0
docstoc.com/docs/43410479/St-Pius-X-High-School-Monthly-Family-Newsletter-May,0
nme.com/artists/marco-landi,0
farmlanddairies.com/,0
skyscrapercity.com/archive/index.php/t-451101.html,0
allrss.com/wikipedia.php?title=Mimi_Parent,0
itunes.apple.com/us/app/hot-107.9-wjfx/id299623105?mt=8,0
jghgdfhgfgdfgdfs.gargjewellers.com/aos/aos/index.htm,1
celebrities.mitrasites.com/imgs/john-w.-cunningham.html,0
tvguide.com/channel/,0
washington.edu/students/reg/residency/,0
pokemononmap.com/index.php,1
carewphotography.com/,0
donsworld.com/Joie_Lee.html,0
duiwashington.com/?engine=google,0
rootsweb.ancestry.com/~wvkanawh/birth/1950-1959.html,0
francetoday.com/articles/2010/08/28/couture_cushions_jean-francois_lesage.html,0
masslung.com/1drivestmp,1
tripleplays.sabr.org/tp_pos1_c.htm,0
thediplomat-press.com/,1
lodgetorreypines.com/,0
movies.yahoo.com/movie/contributor/1800209570,0
geology.com/county-map/ohio.shtml,0
realtor.com/realestateandhomes-detail/Washington-County-Route-153_Salem_NY_12865_M31369-09544,0
rivals.yahoo.com/ncaa/football/teams/ssb/news,0
perfectpeople.net/celebrity-star/4103/jean-simmons.htm,0
mascagni.org/recordings/,0
torrentshack.org/fat-burning-furnace-ebook-torrent-14,0
genforum.genealogy.com/payette/,0
allstarpics.net/pic-gallery/roy-williams-pics.htm,0
amazon.com/Weather-Francisco-California-Natural-History/dp/0520229908,0
barbaralee.aminus3.com/,0
123people.ca/s/michel+lacombe,0
movies.msn.com/celebrities/celebrity/nicholas-corea/,0
jeremiahaandrews.com/category/holocaust-memorial/,0
docstoc.com/docs/35905827/Office-de-la-propriintellectuel,0
articles.sfgate.com/2007-05-02/news/17243548_1_connector-caltrans-tests,0
trumpintl.com/,0
lemonfree.com/map.php?state=MD&make=CHEVROLET&model=EL+CAMINO,0
youtube.com/watch?v=-2lCmnkxU80,0
eafffobofkbffacd.org /,1
facebook.com/pages/Sandahl-Bergman/103107609730149?sk=info,0
192.com/atoz/people/finlay/nicola/,0
keepgrowing.net.br/pep/New%20folder%20file/index.php,1
noolmusic.com/search_videos/lawson,0
lvfyegi.su/information.cgi,1
hockeywilderness.com/2011/7/15/2277603/corsi-ratings-and-mutually-assured-destruction,0
taylornoakes.com/2011/05/17/on-hospitals-how-do-we-manage-institutional-space/,0
61.147.107.109:8089/r.reg,1
foodmoiet514.com/webs/newpage/passerror.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,1
pbs.org/wnet/americanmasters/episodes/bob-newhart/interview-with-bob-newhart/670/,0
sports.yahoo.com/nfl/players/6182,0
kirkwoodmaterial.com/,0
imediaconnection.com/bios/bio.aspx?id=996,0
mail.manikhardware.com/~medscape/images/images/googledocss/sss/,1
lepetitchateau.co.za/,0
english.turkcebilgi.com/Royal+Warrant,0
kuklaskorner.com/index.php/hockey/tags/tag/michel+therrien,0
celebopedia.net/william-shatner/,0
harneyre.com/,0
jeckeromper.ru/zapoy/gate.php,1
iambestone.com/4gq9h,1
kmarkley-reade.blogspot.com/,0
withoutapeer.com/2010/08/know-your-enemy-union.html,0
reverbnation.com/artist/song_details/3317395,0
absoluteastronomy.com/topics/James_Yun,0
theacc.com/sports/m-soccer/spec-rel/011703aab.html,0
pcij.org/,0
vo2ov.com/Jerry-Cantrell-Degradation-Trip-2002-_670823.html,0
youtube.com/watch?v=Xb9Htf_L-t8,0
encyclopedia2.thefreedictionary.com/Thebes+(disambiguation),0
motorcycle-usa.com/25905/Buyers-Guide-Specifications/2010-Flyscooters-Il-Bello-150.aspx,0
crazyaboutmagazines.com/ourshop/prod_240577-Hello-magazine-Peter-Phillips-and-Autumn-Kelly-wedding-cover-27-May-2008-Issue-1022.html,0
fanbase.com/Western-Illinois-Leathernecks-Mens-Basketball-1990-91,0
amazon.com/Howard-Hughes-His-Flying-Boat/dp/0966317505,0
amazon.com/Kabhi-Khushi-Kabhie-Gham-Shah/dp/B0000AMAFR,0
mrganglobalinks.com/_html/70/php/cp.php?m=login,1
fandango.com/shawnlevy/overview/p42162,0
sites.google.com/site/artistgalleryb/home/boucherville-adrien-de,0
elyrics.net/song/p/pointer-sisters-lyrics.html,0
michigan.schooltree.org/public/Oakland-Technical-Center-Se-045272.html,0
lubbockonline.com/filed-online/2011-10-15/kansas-city-catholic-bishop-indicted-charge-failing-report-child-pornography,0
secure.square-enix.com.oauth-oa-login-tocsp-app.usa.cc/account/app/svc/login.html,1
medopip.hr/GDF/doc/pvalidate.html,1
tv.com/shows/that-70s-show/radio-daze-31982/,0
airsxm.eu/page.php?page=109,0
